RepoID,Cluster
RID1967,0
RID1968,0
RID1969,1
RID1970,0
RID1971,0
RID1972,1
RID1973,2
RID1974,0
RID1975,0
RID1976,2
RID1977,2
RID1978,2
RID1979,0
RID1980,2
RID1981,0
RID1982,1
RID1983,2
RID1984,1
RID1985,0
RID1986,2
RID1987,0
RID1988,1
RID1989,0
RID1990,0
RID1991,0
RID1992,0
RID1993,1
RID1994,0
RID1995,0
RID1996,0
RID1997,0
RID1998,2
RID1999,2
RID2000,1
RID2001,0
RID2002,0
RID2003,2
RID2004,2
RID2005,0
RID2006,1
RID2007,0
RID2008,1
RID2009,0
RID2010,2
RID2011,0
RID2012,2
RID2013,2
RID2014,0
RID2015,0
RID2016,1
RID2017,0
RID2018,0
RID2019,1
RID2020,2
RID2021,1
RID2022,1
RID2023,0
RID2024,2
RID2025,2
RID2026,0
RID2027,0
RID2028,0
RID2029,3
RID2030,1
RID2031,2
RID2032,0
RID2033,2
RID2034,2
RID2035,2
RID2036,0
RID2037,2
RID2038,1
RID2039,1
RID2040,1
RID2041,1
RID2042,0
RID2043,3
RID2044,0
RID2045,0
RID2046,0
RID2047,2
RID2048,1
RID2049,0
RID2050,2
RID2051,2
RID2052,0
RID2053,2
RID2054,1
RID2055,2
RID2056,1
RID2057,1
RID2058,2
RID2059,0
RID2060,0
RID2061,0
RID2062,0
RID2063,0
RID2064,0
RID2065,0
RID2066,2
RID2067,2
RID2068,0
RID2069,0
RID2070,2
RID2071,1
RID2072,0
RID2073,0
RID2074,1
RID2075,0
RID2076,0
RID2077,2
RID2078,0
RID2079,0
RID2080,0
RID2081,1
RID2082,0
RID2083,2
RID2084,0
RID2085,1
RID2086,1
RID2087,2
RID2088,0
RID2089,1
RID2090,1
RID2091,0
RID2092,0
RID2093,0
RID2094,0
RID2095,2
RID2096,0
RID2097,2
RID2098,0
RID2099,2
RID2100,0
RID2101,0
RID2102,0
RID2103,0
RID2104,2
RID2105,1
RID2106,2
RID2107,0
RID2108,0
RID2109,2
RID2110,2
RID2111,0
RID2112,0
RID2113,0
RID2114,2
RID2115,0
RID2116,0
RID2117,1
RID2118,0
RID2119,1
RID2120,0
RID2121,0
RID2122,2
RID2123,0
RID2124,0
RID2125,2
RID2126,2
RID2127,0
RID2128,2
RID2129,1
RID2130,2
RID2131,0
RID2132,2
RID2133,0
RID2134,0
